origin_country,total_flights,avg_altitude_m,max_altitude_m,avg_velocity_ms,max_velocity_ms,flights_on_ground
United States,5505,5599.45,36789.36,147.56,316.56,18
Canada,351,6881.49,12496.8,170.9,291.42,4
United Kingdom,227,9501.6,13106.4,208.74,296.01,0
Australia,211,5413.85,12496.8,150.73,300.87,0
Turkey,129,9561.21,12496.8,220.17,294.81,0
Ireland,123,8296.45,12192.0,197.02,287.01,0
Japan,111,7687.0,12496.8,208.32,293.01,0
Brazil,107,7033.33,13716.0,179.6,275.28,0
China,104,8659.18,13106.4,216.32,305.72,0
United Arab Emirates,101,9438.69,12496.8,233.43,289.65,0
Mexico,83,7725.58,13716.0,185.67,272.3,0
Malta,69,9352.39,13106.4,208.24,268.97,0
India,67,7219.67,11887.2,193.49,284.84,1
Germany,64,7806.93,12192.0,209.01,373.32,0
Republic of Korea,59,6214.05,11582.4,190.18,284.04,0
New Zealand,58,3783.2,11269.98,108.04,278.28,0
Qatar,46,9411.53,14325.6,236.71,305.83,0
Malaysia,46,7426.52,12192.0,197.4,260.08,0
France,44,8403.65,12496.8,219.03,299.15,0
Spain,42,7680.05,12192.0,201.26,282.31,0
Austria,36,7789.97,13114.02,190.64,302.94,0
Russian Federation,36,8614.62,11582.4,178.93,276.83,0
Singapore,34,9373.27,12496.8,229.36,291.82,0
Ethiopia,31,9496.98,12496.8,237.21,294.13,0
Philippines,31,5785.05,12496.8,177.5,274.24,0
Thailand,30,6611.87,12496.8,180.6,289.36,0
Indonesia,28,9149.44,11917.68,226.31,263.19,0
Israel,27,9629.99,11887.2,240.52,274.39,0
Chile,26,9215.22,12489.18,211.76,271.81,0
Taiwan,26,9319.85,12192.0,229.47,305.88,0
Egypt,24,10614.66,12192.0,232.21,314.62,0
Kingdom of the Netherlands,24,9160.51,12496.8,219.05,292.73,0
Portugal,22,7030.84,12192.0,186.42,258.86,0
Poland,20,9458.33,12496.8,213.57,261.43,0
Bahrain,18,8634.73,12496.8,218.01,269.53,0
Panama,18,9323.49,10972.8,221.03,260.23,0
Switzerland,18,9711.27,12192.0,221.76,272.31,1
Saudi Arabia,16,10195.08,11277.6,252.75,280.92,0
Hungary,14,6855.82,10965.18,202.26,264.25,0
Viet Nam,14,7568.84,11887.2,213.41,263.88,0
Argentina,14,8150.13,11887.2,204.65,267.29,0
Sweden,11,9599.12,12123.42,210.72,252.49,0
Kuwait,11,9522.23,11277.6,234.7,292.95,0
Iceland,11,7930.34,10972.8,181.8,244.31,0
Luxembourg,10,10274.05,11887.2,256.99,274.38,0
Lithuania,10,8908.54,10972.8,212.98,250.66,0
Romania,10,10094.21,11887.2,220.83,253.27,0
Bulgaria,9,9016.15,11887.2,213.0,268.51,0
Czech Republic,9,8332.89,12192.0,198.92,247.1,0
Denmark,7,9095.01,12496.8,200.52,257.03,0
Morocco,7,7473.04,11582.4,190.74,250.04,0
Norway,7,11308.08,34229.04,204.54,262.43,0
Republic of Moldova,6,7349.49,11887.2,203.36,261.97,0
Pakistan,6,8990.33,10972.8,211.53,247.63,0
Algeria,6,11379.2,12192.0,243.84,259.95,0
Colombia,6,5553.71,10233.66,145.66,237.52,0
Ukraine,5,7569.71,11277.6,208.81,253.38,0
Greece,5,11100.82,11894.82,254.6,268.79,0
Finland,5,8369.81,10363.2,191.09,201.64,0
Azerbaijan,4,6505.58,10675.62,185.14,252.79,0
Dominican Republic,4,8734.42,12192.0,209.84,244.63,0
Sri Lanka,4,8246.75,10675.62,204.63,258.83,0
Jordan,4,10803.26,12489.18,249.12,267.39,0
Bangladesh,4,11513.82,11887.2,256.53,284.15,0
Nepal,3,6535.42,11887.2,211.98,288.3,0
Uzbekistan,3,10160.0,10363.2,248.24,261.7,0
Tunisia,3,10899.14,11285.22,234.56,262.65,0
Latvia,3,10871.2,10972.8,233.24,243.24,0
Oman,3,7487.92,11277.6,187.64,254.71,0
Croatia,3,10106.66,11277.6,246.69,255.78,0
Belgium,3,11277.6,11582.4,222.01,224.72,0
Bahamas,3,5448.3,6606.54,179.94,231.2,0
Slovakia,3,8039.1,11582.4,192.59,232.74,0
Islamic Republic of Iran,2,7158.99,9136.38,187.94,227.02,0
Libyan Arab Jamahiriya,2,10130.79,10675.62,247.72,254.69,0
San Marino,2,10668.0,11277.6,224.12,227.61,0
Armenia,2,1581.15,2705.1,39.96,68.9,0
South Africa,2,1779.27,3474.72,107.76,180.93,0
Nigeria,2,5764.53,9448.8,168.4,222.0,0
Cambodia,1,10363.2,10363.2,249.72,249.72,0
El Salvador,1,1379.22,1379.22,43.46,43.46,0
Belarus,1,10363.2,10363.2,243.52,243.52,0
Angola,1,7551.42,7551.42,255.65,255.65,0
Bhutan,1,6217.92,6217.92,184.08,184.08,0
Brunei Darussalam,1,510.54,510.54,118.77,118.77,0
Estonia,1,11269.98,11269.98,216.95,216.95,0
Italy,1,5532.12,5532.12,171.8,171.8,0
Kenya,1,10668.0,10668.0,230.22,230.22,0
Georgia,1,10668.0,10668.0,267.75,267.75,0
Serbia,1,10660.38,10660.38,237.46,237.46,0
Rwanda,1,10668.0,10668.0,258.5,258.5,0
Trinidad and Tobago,1,10972.8,10972.8,235.31,235.31,0
Turkmenistan,1,10972.8,10972.8,251.37,251.37,0
