callsign,icao24,origin_country,avg_altitude_m,avg_velocity_ms
00000000,a8dab9,United States,12035.79,228.33
1200,a7d720,United States,9166.86,203.01
15062,78562c,China,1234.44,55.77
203313,ae6c57,United States,335.28,51.47
240,a50370,United States,10066.02,277.99
3023,ad87c3,United States,388.62,47.51
8AH,7cac27,Australia,1150.62,68.78
8RT,7cae97,Australia,6469.38,121.29
A76,7c04c4,Australia,1112.52,56.75
AAL100,a9a399,United States,556.26,92.95
AAL1008,add66d,United States,10370.82,216.79
AAL1022,acf486,United States,9380.22,256.39
AAL1024,adc8e7,United States,10668.0,254.74
AAL1037,a56862,United States,868.68,98.39
AAL1053,acae2e,United States,11277.6,242.45
AAL1056,a6e89f,United States,10980.42,182.43
AAL1057,a5b3a7,United States,7284.72,183.11
AAL1060,ac1f0e,United States,1546.86,150.02
AAL1069,ad5398,United States,10363.2,237.97
AAL107,a99d89,United States,10363.2,210.42
